,F,C,R50
1441,64,5,0
1442,100,0,0
1443,46,1,0
1444,100,0,0
1445,67,0,0
1446,100,0,0
1447,100,0,0
1448,13,0,0
1449,53,0,0
1450,100,0,0
1451,46,0,0
1452,65,0,0
1453,85,0,0
1454,59,0,0
1455,63,0,0
1456,54,0,0
1457,99,1,0
1458,88,0,0
1459,100,0,0
1460,63,0,0
1461,80,0,0
1462,100,0,0
1463,100,0,0
1464,63,0,0
1465,100,0,0
1466,100,0,0
1467,100,0,0
1468,89,0,0
1469,100,0,0
1470,100,0,0
1471,71,0,0
1472,93,0,0
1473,66,0,0
1474,100,0,0
1475,100,0,0
1476,92,0,0
1477,93,0,0
1478,66,11,0
1479,100,0,0
1480,100,0,0
1481,93,0,0
1482,100,0,0
1483,100,0,0
1484,100,0,0
1485,91,0,0
1486,54,0,0
1487,97,0,0
1488,100,0,0
1489,79,0,0
1490,96,0,0
1491,89,0,0
1492,100,0,0
1493,100,0,0
1494,100,0,0
1495,57,2,0
1496,76,0,0
1497,0,65,1
1498,0,5,4
1499,0,39,5
1500,0,30,2
1501,0,55,0
1502,0,9,6
1503,0,7,1
1504,0,26,2
1505,0,3,0
1506,0,6,6
1507,57,0,0
1508,0,75,0
1509,38,0,0
1510,81,0,0
1511,79,0,0
1512,66,0,0
1513,73,0,0
1514,88,0,0
1515,45,0,0
1516,16,3,0
1517,58,0,0
1518,39,0,0
1519,80,0,0
1520,44,0,0
1521,54,0,0
1522,69,0,0
1523,74,0,0
1524,82,0,0
1525,55,0,0
1526,28,0,0
1527,0,75,0
1528,94,0,0
1529,88,0,0
1530,80,0,0
1531,67,0,0
1532,77,1,0
1533,100,0,0
1534,100,0,0
1535,100,0,0
1536,66,0,0
1537,44,7,0
1538,69,0,0
1539,100,0,0
1540,99,0,0
1541,83,0,0
1542,100,0,0
1543,30,1,0
1544,68,0,0
1545,69,0,0
1546,97,0,0
1547,96,0,0
1548,98,0,0
1549,69,0,0
1550,98,0,0
1551,93,0,0
1552,44,0,0
1553,54,0,0
1554,83,0,0
1555,98,0,0
1556,87,0,0
1557,100,0,0
1558,100,0,0
1559,91,0,0
1560,89,0,0
1561,99,0,0
1562,58,0,0
1563,0,16,0
1564,0,24,2
1565,0,73,4
1566,0,33,4
1567,0,29,0
1568,0,20,23
1569,0,26,0
1570,0,24,1
1571,0,3,4
1572,0,26,10
1573,0,19,0
1574,0,19,0
1575,0,39,4
1576,0,21,1
1577,0,9,2
1578,0,16,9
1579,57,0,0
1580,29,1,0
1581,40,0,0
1582,28,0,0
1583,27,0,0
1584,36,1,0
1585,51,0,0
1586,4,1,0
1587,30,0,0
1588,43,0,0
1589,41,0,0
1590,99,1,0
1591,97,3,0
1592,100,0,0
1593,80,20,0
1594,95,5,0
1595,100,0,0
1596,98,2,0
1597,95,5,0
1598,25,10,0
1599,100,0,0
1600,66,34,0
1601,100,0,0
1602,58,0,0
1603,99,1,0
1604,100,0,0
1605,100,0,0
1606,8,0,0
1607,41,0,0
1608,62,0,0
1609,31,0,0
1610,38,0,0
1611,96,4,0
1612,89,0,0
1613,100,0,0
1614,88,12,0
1615,92,0,0
1616,59,41,0
1617,10,90,0
1618,18,0,0
1619,0,100,0
1620,97,3,0
1621,69,31,0
1622,97,0,0
1623,100,0,0
1624,18,1,0
